127.0.0.1, 2018-04-07 20:30:05, GET, /, HTTP/1.1, 303, 0.048000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.719000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 20:30:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 20:30:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:30:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 20:41:33, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-04-07 20:41:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-04-07 23:32:59, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.084000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.074000
127.0.0.1, 2018-04-07 23:32:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.123000
127.0.0.1, 2018-04-07 23:33:00, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-07 23:33:00, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-07 23:33:00, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.005000
127.0.0.1, 2018-04-07 23:33:09, GET, /welcome/default/greet/tim, HTTP/1.1, 404, 0.026000
127.0.0.1, 2018-04-07 23:33:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:43:32, GET, /, HTTP/1.1, 303, 0.014000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.255000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:33, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:34, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:34, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:34, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:46, GET, /start, HTTP/1.1, 200, 0.618000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-09 12:43:46, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-09 12:43:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-09 12:43:56, GET, /start/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-04-09 12:43:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:44:04, GET, /start/, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-09 12:44:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:45:51, GET, /start, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-09 12:45:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-09 12:45:58, GET, /start, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-04-09 12:45:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-09 12:46:26, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2018-04-09 12:46:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.214000
127.0.0.1, 2018-04-09 12:46:41, GET, /welcome/start, HTTP/1.1, 404, 0.020000
127.0.0.1, 2018-04-09 12:46:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:46:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-09 12:47:11, GET, /start, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-04-09 12:47:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:47:13, GET, /start/default/user/register, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-04-09 12:47:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:47:17, GET, /start, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-09 12:47:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-09 12:47:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.034000
